age_gender_cat,m_standard,hm_standard,boston_standard
M18-34,2:53:00,1:21:00,3:00:00
M35-39,2:55:00,1:23:00,3:05:00
M40-44,2:58:00,1:25:00,3:10:00
M45-49,3:05:00,1:28:00,3:20:00
M50-54,3:14:00,1:32:00,3:25:00
M55-59,3:23:00,1:36:00,3:35:00
M60-64,3:34:00,1:41:00,3:50:00
M65-69,3:45:00,1:46:00,4:05:00
M70-74,4:10:00,1:57:00,4:20:00
M75-79,4:30:00,2:07:00,4:35:00
M80+,4:55:00,2:15:00,4:50:00
F18-34,3:13:00,1:32:00,3:30:00
F35-39,3:15:00,1:34:00,3:35:00
F40-44,3:26:00,1:37:00,3:40:00
F45-49,3:38:00,1:42:00,3:50:00
F50-54,3:51:00,1:49:00,3:55:00
F55-59,4:10:00,1:54:00,4:05:00
F60-64,4:27:00,2:02:00,4:20:00
F65-69,4:50:00,2:12:00,4:35:00
F70-74,5:30:00,2:27:00,4:50:00
F75-79,6:00:00,2:40:00,5:05:00
F80+,6:35:00,2:50:00,5:20:00